Change Component Footprint: Designator=C3 Old Footprint=POLAR0.8 New Footprint=CAPPA14.05-10.5x6.3
Change Component Footprint: Designator=C4 Old Footprint=RAD-0.3 New Footprint=CAPR2.54-5.1x3.2
Change Component Footprint: Designator=C5 Old Footprint=RAD-0.3 New Footprint=CAPR2.54-5.1x3.2
Change Component Designator: OldDesignator=*_1 NewDesignator=*
Change Component Designator: OldDesignator=D1_1 NewDesignator=D1
Change Component Designator: OldDesignator=D2_1 NewDesignator=D2
Change Component Designator: OldDesignator=D3_1 NewDesignator=D3
Change Component Designator: OldDesignator=D4_1 NewDesignator=D4
Change Component Designator: OldDesignator=D5_1 NewDesignator=D5
Change Component Designator: OldDesignator=D6_1 NewDesignator=D6
Change Component Designator: OldDesignator=D7_1 NewDesignator=D7
Change Component Designator: OldDesignator=D8_1 NewDesignator=D8
Change Component Designator: OldDesignator=HC-05_1 NewDesignator=HC-05
Change Component Designator: OldDesignator=P1_1 NewDesignator=P1
Change Component Designator: OldDesignator=P2_1 NewDesignator=P2
Change Component Designator: OldDesignator=P3_1 NewDesignator=P3
Change Component Designator: OldDesignator=P4_1 NewDesignator=P4
Change Component Designator: OldDesignator=R1_1 NewDesignator=R1
Change Component Designator: OldDesignator=S1_1 NewDesignator=S1
Change Component Designator: OldDesignator=U1_1 NewDesignator=U1
Change Component Designator: OldDesignator=Y1_1 NewDesignator=Y1
Added Pin To Net: NetName=P32 Pin=*-1
Added Pin To Net: NetName=Net*_9 Pin=*-9
Added Pin To Net: NetName=K1 Pin=*-10
Added Pin To Net: NetName=P31 Pin=*-11
Added Pin To Net: NetName=Net*_18 Pin=*-18
Added Pin To Net: NetName=Net*_19 Pin=*-19
Added Pin To Net: NetName=GND Pin=*-20
Added Pin To Net: NetName=5 Pin=*-23
Added Pin To Net: NetName=6 Pin=*-24
Added Pin To Net: NetName=7 Pin=*-25
Added Pin To Net: NetName=10 Pin=*-26
Added Pin To Net: NetName=11 Pin=*-27
Added Pin To Net: NetName=12 Pin=*-28
Added Pin To Net: NetName=VCC Pin=*-40
Added Pin To Net: NetName=VCC Pin=C3-1
Added Pin To Net: NetName=Net*_9 Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=Net*_18 Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=Net*_19 Pin=C5-2
Added Pin To Net: NetName=NetD1_1 Pin=D1-1
Added Pin To Net: NetName=NetD1_2 Pin=D1-2
Added Pin To Net: NetName=NetD2_1 Pin=D2-1
Added Pin To Net: NetName=NetD1_2 Pin=D2-2
Added Pin To Net: NetName=NetD3_1 Pin=D3-1
Added Pin To Net: NetName=NetD1_2 Pin=D3-2
Added Pin To Net: NetName=NetD4_1 Pin=D4-1
Added Pin To Net: NetName=NetD1_2 Pin=D4-2
Added Pin To Net: NetName=GND Pin=D5-1
Added Pin To Net: NetName=NetD1_1 Pin=D5-2
Added Pin To Net: NetName=GND Pin=D6-1
Added Pin To Net: NetName=NetD2_1 Pin=D6-2
Added Pin To Net: NetName=GND Pin=D7-1
Added Pin To Net: NetName=NetD3_1 Pin=D7-2
Added Pin To Net: NetName=GND Pin=D8-1
Added Pin To Net: NetName=NetD4_1 Pin=D8-2
Added Pin To Net: NetName=P31 Pin=HC-05-2
Added Pin To Net: NetName=K1 Pin=HC-05-3
Added Pin To Net: NetName=GND Pin=HC-05-4
Added Pin To Net: NetName=VCC Pin=HC-05-5
Added Pin To Net: NetName=P32 Pin=HC-05-6
Added Pin To Net: NetName=NetD1_1 Pin=P1-1
Added Pin To Net: NetName=NetD2_1 Pin=P1-2
Added Pin To Net: NetName=NetD3_1 Pin=P2-1
Added Pin To Net: NetName=NetD4_1 Pin=P2-2
Added Pin To Net: NetName=NetD1_2 Pin=P3-1
Added Pin To Net: NetName=GND Pin=P3-2
Added Pin To Net: NetName=VCC Pin=P4-1
Added Pin To Net: NetName=GND Pin=P4-2
Added Pin To Net: NetName=GND Pin=R1-1
Added Pin To Net: NetName=Net*_9 Pin=R1-2
Added Pin To Net: NetName=Net*_9 Pin=S1-1
Added Pin To Net: NetName=VCC Pin=S1-2
Added Pin To Net: NetName=GND Pin=U1-1
Added Pin To Net: NetName=NetD1_1 Pin=U1-2
Added Pin To Net: NetName=NetD2_1 Pin=U1-3
Added Pin To Net: NetName=NetD1_2 Pin=U1-4
Added Pin To Net: NetName=5 Pin=U1-5
Added Pin To Net: NetName=6 Pin=U1-6
Added Pin To Net: NetName=7 Pin=U1-7
Added Pin To Net: NetName=GND Pin=U1-8
Added Pin To Net: NetName=VCC Pin=U1-9
Added Pin To Net: NetName=10 Pin=U1-10
Added Pin To Net: NetName=11 Pin=U1-11
Added Pin To Net: NetName=12 Pin=U1-12
Added Pin To Net: NetName=NetD3_1 Pin=U1-13
Added Pin To Net: NetName=NetD4_1 Pin=U1-14
Added Pin To Net: NetName=GND Pin=U1-15
Added Pin To Net: NetName=Net*_18 Pin=Y1-1
Added Pin To Net: NetName=Net*_19 Pin=Y1-2
Added Room: Name=CAR
